gre_score,toefl_score,univ_ranking,motiv_letter_strength,recommendation_strength,gpa,research_exp,admit_status
316.0,99.0,2.0,2.5,3.0,9.0,no,0
318.0,100.0,2.0,2.5,3.5,8.54,yes,1
335.0,115.0,4.0,4.5,4.5,9.68,yes,1
321.0,114.0,4.0,4.0,5.0,9.12,no,1
307.0,110.0,4.0,4.0,4.5,8.37,no,1
309.0,99.0,3.0,4.0,4.0,8.56,no,1
324.0,100.0,3.0,4.0,5.0,8.64,yes,1
326.0,102.0,4.0,5.0,5.0,8.76,yes,1
331.0,119.0,4.0,5.0,4.5,9.34,yes,1
327.0,108.0,5.0,5.0,3.5,9.13,yes,1
312.0,104.0,3.0,3.5,4.0,8.09,no,1
308.0,103.0,2.0,2.5,4.0,8.36,no,0
324.0,111.0,3.0,2.5,1.5,8.79,yes,0
325.0,110.0,2.0,3.0,2.5,8.76,yes,1
313.0,102.0,3.0,2.5,2.5,8.68,no,1
312.0,105.0,2.0,2.0,2.5,8.45,no,1
314.0,107.0,3.0,3.0,3.5,8.17,yes,1
327.0,113.0,4.0,4.5,5.0,9.14,no,1
308.0,108.0,4.0,4.5,5.0,8.34,no,1
306.0,105.0,2.0,2.5,3.0,8.22,yes,1
299.0,96.0,2.0,1.5,2.0,7.86,no,0
294.0,95.0,1.0,1.5,1.5,7.64,no,0
312.0,99.0,1.0,1.0,1.5,8.01,yes,0
315.0,100.0,1.0,2.0,2.5,7.95,no,0
322.0,110.0,3.0,3.5,3.0,8.96,yes,1
329.0,113.0,5.0,5.0,4.5,9.45,yes,1
320.0,101.0,2.0,2.5,3.0,8.62,no,0
308.0,103.0,2.0,3.0,3.5,8.49,no,0
304.0,102.0,2.0,3.0,4.0,8.73,no,0
311.0,102.0,3.0,4.5,4.0,8.64,yes,0
317.0,110.0,3.0,4.0,4.5,9.11,yes,1
312.0,106.0,3.0,4.0,3.5,8.79,yes,1
321.0,111.0,3.0,2.5,3.0,8.9,yes,1
340.0,112.0,4.0,5.0,4.5,9.66,yes,1
331.0,116.0,5.0,4.0,4.0,9.26,yes,1
336.0,118.0,5.0,4.5,4.0,9.19,yes,1
324.0,114.0,5.0,5.0,4.5,9.08,yes,1
314.0,104.0,4.0,5.0,5.0,9.02,no,1
313.0,109.0,3.0,4.0,3.5,9.0,no,1
307.0,105.0,2.0,2.5,3.0,7.65,no,0
300.0,102.0,2.0,1.5,2.0,7.87,no,0
302.0,99.0,2.0,1.0,2.0,7.97,no,0
312.0,98.0,1.0,3.5,3.0,8.18,yes,0
316.0,101.0,2.0,2.5,2.0,8.32,yes,0
317.0,100.0,2.0,3.0,2.5,8.57,no,0
310.0,107.0,3.0,3.5,3.5,8.67,no,1
,120.0,3.0,4.0,4.5,9.11,no,1
330.0,114.0,3.0,4.5,4.5,9.24,yes,1
305.0,112.0,3.0,3.0,3.5,8.65,no,1
309.0,106.0,2.0,2.5,2.5,8.0,no,0
319.0,108.0,2.0,2.5,3.0,8.76,no,0
322.0,105.0,2.0,3.0,3.0,8.45,yes,0
323.0,107.0,3.0,3.5,3.5,8.55,yes,1
313.0,106.0,2.0,2.5,2.0,8.43,no,0
321.0,109.0,3.0,3.5,3.5,8.8,yes,1
323.0,110.0,3.0,4.0,3.5,9.1,yes,1
325.0,112.0,4.0,4.0,4.0,9.0,yes,1
312.0,108.0,3.0,3.5,3.0,8.53,no,0
308.0,110.0,4.0,3.5,3.0,8.6,no,0
320.0,104.0,3.0,3.0,3.5,8.74,yes,1
328.0,108.0,4.0,4.5,4.0,9.18,yes,1
311.0,107.0,4.0,4.5,4.5,9.0,yes,1
301.0,100.0,3.0,3.5,3.0,8.04,no,0
305.0,105.0,2.0,3.0,4.0,8.13,no,0
308.0,104.0,2.0,2.5,3.0,8.07,no,0
298.0,101.0,2.0,1.5,2.0,7.86,no,0
300.0,99.0,1.0,1.0,2.5,8.01,no,0
324.0,111.0,3.0,2.5,2.0,8.8,yes,1
327.0,113.0,4.0,3.5,3.0,8.69,yes,1
317.0,106.0,3.0,4.0,3.5,8.5,yes,1
323.0,104.0,3.0,4.0,4.0,8.44,yes,1
314.0,107.0,2.0,2.5,4.0,8.27,no,1
305.0,102.0,2.0,2.0,2.5,8.18,no,0
315.0,104.0,3.0,3.0,2.5,8.33,no,0
326.0,116.0,3.0,3.5,4.0,9.14,yes,1
299.0,100.0,3.0,2.0,2.0,8.02,no,0
295.0,101.0,2.0,2.5,2.0,7.86,no,0
324.0,112.0,4.0,4.0,3.5,8.77,yes,1
297.0,96.0,2.0,2.5,1.5,7.89,no,0
327.0,113.0,3.0,3.5,3.0,8.66,yes,1
311.0,105.0,2.0,3.0,2.0,8.12,yes,1
308.0,106.0,3.0,3.5,2.5,8.21,yes,1
319.0,108.0,3.0,3.0,3.5,8.54,yes,1
312.0,107.0,4.0,4.5,4.0,8.65,yes,1
325.0,111.0,4.0,4.0,4.5,9.11,yes,1
319.0,110.0,3.0,3.0,2.5,8.79,no,1
332.0,118.0,5.0,5.0,5.0,9.47,yes,1
323.0,108.0,5.0,4.0,4.0,8.74,yes,1
324.0,107.0,5.0,3.5,4.0,8.66,yes,1
312.0,107.0,3.0,3.0,3.0,8.46,yes,1
326.0,110.0,3.0,3.5,3.5,8.76,yes,1
308.0,106.0,3.0,3.0,3.0,8.24,no,0
305.0,103.0,2.0,2.5,3.5,8.13,no,0
295.0,96.0,2.0,1.5,2.0,7.34,no,0
316.0,98.0,1.0,1.5,2.0,7.43,no,0
,97.0,2.0,1.5,2.0,7.64,no,0
299.0,94.0,1.0,1.0,1.0,7.34,no,0
302.0,99.0,1.0,2.0,2.0,7.25,no,0
313.0,101.0,3.0,2.5,3.0,8.04,no,0
318.0,107.0,3.0,3.0,3.5,8.27,yes,1
325.0,110.0,4.0,3.5,4.0,8.67,yes,1
303.0,100.0,2.0,3.0,3.5,8.06,yes,0
300.0,102.0,3.0,3.5,2.5,8.17,no,0
297.0,98.0,2.0,2.5,3.0,7.67,no,0
317.0,106.0,2.0,2.0,3.5,,no,1
327.0,109.0,3.0,3.5,4.0,8.77,yes,1
301.0,104.0,2.0,3.5,3.5,7.89,yes,0
314.0,105.0,2.0,2.5,2.0,7.64,no,0
321.0,107.0,2.0,2.0,1.5,8.44,no,1
322.0,110.0,3.0,4.0,5.0,8.64,yes,1
334.0,116.0,,4.0,3.5,9.54,yes,1
338.0,,5.0,4.5,5.0,9.23,yes,1
306.0,103.0,2.0,2.5,3.0,8.36,no,0
313.0,102.0,3.0,3.5,4.0,8.9,yes,1
330.0,114.0,4.0,4.5,3.0,9.17,yes,1
320.0,104.0,3.0,3.5,4.5,8.34,yes,1
311.0,98.0,1.0,1.0,2.5,7.46,no,0
298.0,92.0,1.0,2.0,2.0,7.88,no,0
301.0,98.0,1.0,2.0,3.0,8.03,yes,0
310.0,103.0,2.0,2.5,2.5,8.24,no,1
324.0,110.0,3.0,3.5,3.0,9.22,yes,1
336.0,119.0,4.0,4.5,4.0,9.62,yes,1
321.0,109.0,3.0,3.0,3.0,8.54,yes,1
315.0,105.0,2.0,2.0,2.5,7.65,no,0
304.0,101.0,2.0,2.0,2.5,7.66,no,0
297.0,96.0,2.0,2.5,2.0,7.43,no,0
290.0,100.0,1.0,1.5,2.0,7.56,no,0
303.0,98.0,1.0,2.0,2.5,7.65,no,0
311.0,99.0,1.0,2.5,3.0,8.43,yes,1
322.0,104.0,3.0,3.5,4.0,8.84,yes,1
319.0,105.0,3.0,3.0,3.5,8.67,yes,1
324.0,110.0,4.0,4.5,4.0,9.15,yes,1
300.0,100.0,3.0,3.0,3.5,8.26,no,0
340.0,113.0,4.0,5.0,5.0,9.74,yes,1
335.0,117.0,5.0,5.0,5.0,9.82,yes,1
302.0,101.0,2.0,2.5,3.5,7.96,no,0
307.0,105.0,2.0,2.0,3.5,8.1,no,0
296.0,97.0,2.0,1.5,2.0,7.8,no,0
320.0,108.0,3.0,3.5,4.0,8.44,yes,1
314.0,102.0,2.0,2.0,2.5,8.24,no,0
318.0,106.0,3.0,2.0,,8.65,no,1
326.0,112.0,4.0,4.0,3.5,9.12,yes,1
317.0,104.0,2.0,3.0,3.0,8.76,no,1
329.0,111.0,4.0,4.5,4.0,9.23,yes,1
324.0,110.0,3.0,3.5,3.5,9.04,yes,1
325.0,107.0,3.0,3.0,3.5,9.11,yes,1
330.0,116.0,4.0,5.0,4.5,9.45,yes,1
312.0,103.0,3.0,3.5,4.0,8.78,no,0
333.0,117.0,4.0,5.0,4.0,9.66,yes,1
304.0,100.0,2.0,3.5,3.0,8.22,no,0
315.0,105.0,2.0,3.0,3.0,8.34,no,0
324.0,109.0,3.0,3.5,3.0,8.94,yes,1
330.0,116.0,4.0,4.0,3.5,9.23,yes,1
311.0,101.0,3.0,2.0,2.5,7.64,yes,0
302.0,99.0,3.0,2.5,3.0,7.45,no,0
322.0,103.0,4.0,3.0,2.5,8.02,yes,0
298.0,100.0,3.0,2.5,4.0,7.95,yes,0
297.0,101.0,3.0,2.0,4.0,7.67,yes,0
300.0,,1.0,2.0,2.5,8.02,no,0
301.0,,1.0,3.0,4.0,7.56,no,0
313.0,94.0,2.0,2.5,1.5,8.13,no,0
314.0,102.0,4.0,2.5,2.0,7.88,yes,0
317.0,101.0,3.0,3.0,2.0,7.94,yes,0
,110.0,4.0,3.5,4.0,8.35,yes,1
327.0,106.0,4.0,4.0,4.5,8.75,yes,1
315.0,104.0,3.0,4.0,2.5,8.1,no,0
316.0,103.0,3.0,3.5,2.0,7.68,no,0
309.0,111.0,2.0,2.5,4.0,8.03,no,0
308.0,102.0,2.0,2.0,3.5,7.98,yes,0
299.0,100.0,3.0,2.0,3.0,7.42,no,0
321.0,112.0,3.0,3.0,4.5,8.95,yes,1
322.0,112.0,4.0,3.5,2.5,9.02,yes,1
334.0,119.0,5.0,4.5,5.0,9.54,yes,1
325.0,114.0,5.0,4.0,5.0,9.46,yes,1
323.0,111.0,5.0,4.0,5.0,9.86,yes,1
312.0,106.0,3.0,3.0,5.0,8.57,no,1
310.0,101.0,3.0,3.5,5.0,8.65,yes,1
316.0,103.0,2.0,2.0,4.5,8.74,no,0
340.0,115.0,5.0,5.0,4.5,9.06,yes,1
311.0,104.0,3.0,4.0,3.5,8.13,yes,1
320.0,112.0,2.0,3.5,3.5,8.78,yes,1
324.0,112.0,4.0,4.5,4.0,9.22,yes,1
316.0,111.0,4.0,4.0,5.0,8.54,no,1
306.0,103.0,3.0,3.5,3.0,8.21,no,0
309.0,105.0,2.0,2.5,4.0,7.68,no,0
310.0,110.0,1.0,1.5,4.0,7.23,yes,0
317.0,106.0,,1.5,3.5,7.65,yes,0
318.0,110.0,1.0,2.5,3.5,8.54,yes,0
312.0,105.0,2.0,1.5,3.0,8.46,no,0
305.0,104.0,2.0,2.5,1.5,7.79,no,0
332.0,112.0,1.0,1.5,3.0,8.66,yes,1
331.0,116.0,4.0,4.5,4.5,9.44,yes,1
321.0,114.0,5.0,4.5,4.5,9.16,yes,1
324.0,113.0,5.0,4.0,5.0,9.25,yes,1
328.0,116.0,5.0,4.5,5.0,9.08,yes,1
327.0,118.0,4.0,5.0,5.0,9.67,yes,1
320.0,108.0,3.0,3.5,5.0,8.97,yes,1
312.0,109.0,2.0,2.5,4.0,9.02,no,1
315.0,101.0,3.0,3.5,4.5,9.13,no,1
320.0,112.0,4.0,3.0,4.5,8.86,yes,1
324.0,113.0,4.0,4.5,4.5,9.25,yes,1
328.0,,4.0,5.0,3.5,9.6,yes,1
319.0,103.0,3.0,2.5,,8.76,yes,1
310.0,105.0,2.0,3.0,3.5,8.01,no,1
305.0,102.0,2.0,1.5,2.5,7.64,no,0
299.0,100.0,2.0,2.0,2.0,7.88,no,0
295.0,99.0,1.0,2.0,1.5,7.57,no,0
312.0,,1.0,3.0,3.0,8.53,yes,0
329.0,113.0,4.0,4.0,3.5,9.36,yes,1
319.0,105.0,4.0,4.0,4.5,8.66,yes,1
301.0,102.0,3.0,2.5,2.0,8.13,yes,0
307.0,105.0,4.0,3.0,3.0,7.94,no,0
304.0,107.0,3.0,3.5,3.0,7.86,no,0
298.0,97.0,2.0,2.0,3.0,7.21,no,0
305.0,96.0,4.0,3.0,4.5,8.26,no,0
314.0,99.0,4.0,3.5,4.5,8.73,yes,1
318.0,101.0,5.0,3.5,5.0,8.78,yes,1
323.0,110.0,4.0,4.0,5.0,8.88,yes,1
326.0,114.0,4.0,4.0,3.5,9.16,yes,1
320.0,110.0,5.0,4.0,4.0,9.27,yes,1
311.0,103.0,3.0,2.0,4.0,8.09,no,0
,116.0,4.0,4.0,4.5,9.48,yes,1
316.0,102.0,2.0,4.0,3.5,8.15,no,0
308.0,105.0,4.0,3.0,2.5,7.95,yes,0
300.0,101.0,3.0,3.5,2.5,7.88,no,0
304.0,104.0,3.0,2.5,2.0,8.12,no,0
309.0,105.0,4.0,3.5,2.0,8.18,no,0
318.0,103.0,3.0,4.0,4.5,8.49,yes,1
325.0,110.0,4.0,4.5,4.0,8.96,no,1
321.0,102.0,3.0,3.5,4.0,9.01,yes,1
323.0,107.0,4.0,3.0,2.5,8.48,yes,1
328.0,113.0,4.0,4.0,2.5,8.77,yes,1
304.0,103.0,5.0,5.0,3.0,7.92,no,1
317.0,106.0,3.0,3.5,3.0,7.89,yes,1
311.0,101.0,2.0,2.5,3.5,8.34,yes,0
319.0,102.0,3.0,2.5,2.5,8.37,no,0
327.0,115.0,4.0,3.5,4.0,9.14,no,1
322.0,112.0,3.0,3.0,4.0,8.62,yes,1
302.0,110.0,3.0,4.0,4.5,8.5,no,0
,105.0,2.0,2.5,4.5,8.12,yes,0
297.0,99.0,4.0,3.0,3.5,7.81,no,0
298.0,101.0,4.0,2.5,4.5,7.69,yes,0
300.0,95.0,,3.0,1.5,8.22,yes,0
301.0,99.0,3.0,2.5,2.0,8.45,yes,0
,108.0,5.0,4.5,4.0,9.02,yes,1
337.0,117.0,5.0,5.0,5.0,9.87,yes,1
330.0,120.0,5.0,4.5,5.0,9.56,yes,1
312.0,103.0,4.0,4.0,5.0,8.43,no,1
327.0,113.0,4.0,4.5,4.5,9.04,no,1
313.0,102.0,3.0,3.5,4.0,8.9,yes,1
328.0,108.0,4.0,4.5,4.0,9.18,yes,1
321.0,109.0,4.0,4.0,4.0,8.68,yes,0
325.0,106.0,3.0,3.5,4.0,8.4,yes,0
314.0,106.0,3.0,3.0,5.0,8.9,no,1
